File Name,Task,Recording Number,Cluster Number,Step Number,Property,Round Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,

Back.txt,Flat,10.02.13,1,3,Px
,,,,,,1.00,-298.82,-298.83,-298.84,-298.84,-298.86,-298.79,-297.92,-296.37,-295.01,-293.47,-292.12,-291.05,-289.96,-289.13,-288.75,-288.55,-288.25,-287.86,-287.45,-287.40,-287.51,-287.76,-287.72,-287.13,-286.32,-285.64,-286.10,-287.23,-288.76,-290.17,-291.19,-291.67,-292.03,-292.55,-293.74,-295.64,-298.02,-298.73,-298.66,-298.65,-298.64,-298.63,-298.61,-298.60,-298.59,-298.58,-298.61,-298.06,-296.47,-295.05,-293.71,-292.71,-291.73,-291.20,-290.25,-289.59,-289.05,-288.37,-288.09,-287.61,-287.10,-286.67,-286.42,-286.12,-285.72,-285.56,-285.42,-285.27,-285.10,-285.02,-285.08,-285.07,-285.35,-285.54,-285.85,-285.95,-286.50,-287.18,-287.74,-288.35,-289.28,-289.86,-290.57,-291.82,-292.67,-294.00,-295.12,-296.84,-298.67,-300.28,-301.97,-303.40,-304.91,-305.59,-305.58,-305.60,-305.62,-305.65,-305.67,-305.70,
,,,,,,2.00,-289.73,-289.78,-289.83,-289.88,-289.93,-289.97,-290.04,-290.12,-289.65,-288.31,-287.44,-286.57,-285.71,-284.96,-284.90,-284.96,-285.00,-285.04,-285.07,-285.11,-285.15,-285.18,-285.22,-285.26,-285.28,-285.34,-285.91,-286.88,-288.06,-289.44,-291.12,-292.85,-294.47,-296.07,-296.83,-296.84,-296.87,-296.91,-296.95,-297.00,-297.04,-297.08,-297.12,-297.17,-297.21,-297.25,-297.29,-297.36,-297.44,-296.48,-294.22,-292.17,-290.41,-288.90,-287.34,-286.06,-284.78,-283.66,-282.80,-282.06,-281.39,-280.73,-280.18,-279.80,-279.44,-279.21,-279.16,-278.97,-278.86,-278.91,-279.13,-279.32,-279.40,-279.70,-279.85,-280.30,-280.88,-281.48,-282.21,-282.90,-283.65,-284.64,-285.70,-286.77,-288.10,-289.64,-291.20,-292.91,-294.89,-296.98,-298.89,-300.16,-300.22,-300.18,-300.17,-300.17,-300.16,-300.16,-300.15,-300.14,
,,,,,,3.00,-287.90,-287.95,-287.99,-288.04,-288.11,-288.14,-287.54,-286.40,-285.39,-284.31,-283.33,-282.49,-282.31,-282.37,-282.40,-282.43,-282.45,-282.48,-282.50,-282.52,-282.55,-282.57,-282.60,-282.63,-282.65,-282.63,-282.78,-283.84,-285.14,-286.47,-287.81,-289.11,-290.66,-291.75,-291.82,-291.78,-291.78,-291.79,-291.80,-291.80,-291.81,-291.81,-291.82,-291.82,-291.83,-291.83,-291.83,-291.84,-291.89,-291.79,-290.67,-289.00,-287.44,-285.91,-284.39,-282.85,-281.46,-280.20,-279.20,-278.32,-277.53,-276.85,-276.26,-275.72,-275.54,-275.56,-275.56,-275.55,-275.55,-275.54,-275.54,-275.52,-275.56,-275.95,-276.22,-276.49,-276.95,-277.59,-278.19,-278.71,-279.35,-280.06,-280.89,-281.81,-282.89,-283.80,-285.17,-286.46,-288.20,-290.02,-291.92,-293.69,-295.41,-296.58,-296.79,-296.75,-296.75,-296.75,-296.75,-296.76,
,,,,,,4.00,-284.51,-284.54,-284.58,-284.61,-284.65,-284.72,-284.44,-283.39,-282.51,-281.61,-280.80,-280.06,-279.47,-279.33,-279.30,-279.26,-279.22,-279.17,-279.13,-279.08,-279.04,-278.99,-278.94,-278.88,-279.19,-279.93,-280.68,-281.57,-282.61,-283.62,-284.99,-286.32,-287.82,-289.70,-291.49,-293.38,-294.99,-295.49,-295.44,-295.42,-295.41,-295.40,-295.39,-295.39,-295.38,-295.37,-295.36,-295.35,-295.34,-295.34,-295.37,-295.31,-293.99,-291.96,-290.14,-288.26,-286.65,-285.29,-283.64,-282.36,-281.43,-280.56,-279.82,-279.12,-278.48,-278.12,-277.79,-277.64,-277.65,-277.65,-277.64,-277.64,-277.63,-277.67,-277.79,-277.96,-278.26,-278.67,-279.25,-279.85,-280.64,-281.36,-282.15,-283.10,-284.29,-285.50,-286.81,-288.34,-290.01,-291.80,-293.63,-295.84,-297.35,-297.48,-297.43,-297.43,-297.44,-297.44,-297.45,-297.45,
,,,,,,5.00,-286.45,-286.44,-286.44,-286.43,-286.43,-286.43,-286.10,-285.28,-284.59,-283.92,-283.08,-282.22,-281.65,-281.11,-281.01,-281.01,-280.99,-280.97,-280.95,-280.93,-280.91,-280.90,-280.88,-280.85,-280.82,-281.24,-282.06,-283.24,-284.48,-285.80,-287.33,-288.95,-290.56,-292.21,-293.67,-294.37,-294.34,-294.31,-294.31,-294.30,-294.29,-294.28,-294.27,-294.26,-294.25,-294.24,-294.23,-294.22,-294.26,-293.90,-292.35,-290.67,-289.00,-287.34,-285.88,-284.37,-283.04,-281.98,-281.12,-280.23,-279.65,-278.98,-278.40,-278.13,-277.63,-277.53,-277.53,-277.53,-277.54,-277.56,-277.66,-277.77,-278.03,-278.32,-278.83,-279.37,-279.90,-280.62,-281.23,-281.98,-282.82,-283.88,-284.87,-285.91,-287.00,-288.47,-290.04,-291.70,-293.53,-295.37,-297.52,-299.46,-300.45,-300.47,-300.49,-300.53,-300.57,-300.61,-300.65,-300.69,
,,,,,,6.00,-291.54,-291.56,-291.58,-291.60,-291.62,-291.67,-291.53,-290.60,-289.49,-288.24,-286.97,-286.17,-286.14,-286.17,-286.17,-286.17,-286.17,-286.17,-286.18,-286.18,-286.18,-286.19,-286.17,-286.17,-286.71,-287.81,-289.26,-290.54,-292.12,-293.49,-294.70,-295.60,-295.61,-295.52,-295.47,-295.41,-295.35,-295.29,-295.24,-295.18,-295.12,-295.07,-295.01,-294.95,-294.92,-294.89,-293.74,-291.63,-289.47,-287.62,-285.79,-283.90,-282.61,-281.81,-280.76,-279.91,-279.54,-279.28,-278.69,-278.40,-278.36,-278.15,-277.66,-277.35,-276.93,-276.89,-277.00,-276.98,-277.21,-277.41,-277.38,-277.67,-278.00,-278.49,-278.99,-279.50,-280.12,-280.81,-281.66,-282.64,-283.82,-284.85,-285.75,-287.02,-288.26,-289.84,-291.68,-293.47,-295.38,-297.19,-299.11,-300.65,-301.48,-301.55,-301.61,-301.69,-301.77,-301.84,-301.92,-302.00,
,,,,,,7.00,-297.86,-297.85,-297.85,-297.88,-297.76,-297.54,-297.18,-296.73,-296.13,-295.38,-294.67,-294.03,-293.94,-293.90,-293.83,-293.77,-293.70,-293.64,-293.58,-293.52,-293.45,-293.36,-293.38,-294.09,-295.03,-295.93,-296.88,-297.78,-299.00,-300.14,-300.78,-300.79,-300.81,-300.85,-300.89,-300.92,-300.96,-300.99,-301.03,-301.07,-301.10,-301.14,-301.20,-301.27,-300.02,-298.03,-296.31,-294.11,-292.38,-290.26,-288.42,-287.02,-285.67,-284.33,-283.16,-282.36,-281.43,-280.57,-279.66,-278.95,-278.29,-277.96,-277.40,-277.27,-277.22,-277.02,-276.87,-276.84,-276.88,-276.86,-277.13,-277.16,-277.45,-277.85,-277.92,-278.56,-278.94,-279.57,-280.21,-280.82,-281.55,-282.57,-283.33,-284.21,-285.60,-286.82,-288.07,-289.60,-291.68,-293.24,-294.74,-296.37,-297.55,-297.78,-297.77,-297.80,-297.83,-297.86,-297.90,-297.93,
,,,,,,8.00,-288.13,-288.20,-288.27,-288.37,-288.32,-287.52,-286.62,-286.16,-285.40,-284.63,-284.11,-283.53,-282.92,-282.30,-281.85,-281.55,-281.53,-281.51,-281.48,-281.45,-281.41,-281.41,-281.77,-282.30,-283.22,-283.96,-284.96,-286.16,-287.18,-288.25,-289.45,-290.85,-292.18,-293.32,-294.60,-295.75,-296.04,-295.98,-295.96,-295.95,-295.93,-295.92,-295.90,-295.89,-295.87,-295.86,-295.84,-295.84,-295.86,-294.88,-293.16,-291.46,-290.04,-288.59,-287.23,-285.82,-284.35,-283.09,-282.03,-281.15,-280.27,-279.29,-278.87,-278.32,-277.89,-277.69,-277.48,-277.39,-277.48,-277.55,-277.79,-278.01,-277.79,-277.94,-278.22,-278.48,-278.87,-279.10,-279.52,-280.06,-280.84,-281.56,-282.04,-282.86,-283.87,-284.89,-285.94,-287.22,-288.82,-290.53,-291.78,-293.11,-294.10,-294.38,-294.32,-294.28,-294.25,-294.22,-294.18,-294.15,
,,,,,,9.00,-286.42,-286.46,-286.51,-286.55,-286.23,-285.71,-285.42,-284.97,-284.48,-283.89,-283.57,-282.79,-282.19,-281.69,-281.08,-280.99,-281.05,-281.09,-281.13,-281.17,-281.21,-281.25,-281.28,-281.30,-281.74,-282.52,-283.39,-284.31,-285.39,-286.82,-288.05,-289.36,-291.04,-292.47,-293.67,-294.05,-293.98,-293.93,-293.90,-293.86,-293.82,-293.79,-293.75,-293.71,-293.68,-293.64,-293.60,-293.58,-293.57,-292.69,-291.10,-289.35,-287.61,-285.81,-284.44,-283.20,-281.85,-280.59,-279.44,-278.45,-277.84,-277.31,-276.71,-276.35,-276.17,-275.97,-275.75,-275.74,-275.92,-276.03,-276.19,-276.40,-276.36,-276.64,-277.06,-277.24,-277.32,-277.81,-278.40,-279.00,-279.52,-280.09,-281.10,-281.78,-282.75,-283.96,-285.24,-286.64,-288.38,-290.08,-291.87,-293.91,-295.30,-295.30,-295.27,-295.27,-295.27,-295.27,-295.27,-295.27,
,,,,,,10.00,-298.65,-298.70,-298.76,-298.81,-298.86,-298.92,-299.01,-298.91,-298.14,-297.28,-296.03,-294.94,-294.06,-293.51,-293.50,-293.52,-293.52,-293.52,-293.53,-293.53,-293.53,-293.54,-293.54,-293.54,-293.53,-293.88,-294.60,-295.39,-296.10,-296.91,-297.79,-298.68,-299.50,-299.71,-299.61,-299.53,-299.46,-299.38,-299.31,-299.24,-299.16,-299.09,-299.02,-298.94,-298.89,-298.86,-298.02,-296.20,-294.42,-292.66,-290.88,-289.23,-287.61,-286.07,-284.73,-283.38,-282.11,-281.05,-280.35,-279.46,-278.85,-278.55,-278.11,-277.70,-277.53,-277.38,-277.24,-277.20,-277.23,-277.42,-277.38,-277.38,-277.45,-277.82,-278.13,-278.19,-278.64,-279.26,-279.70,-280.25,-280.86,-281.64,-282.49,-283.36,-284.64,-285.69,-286.78,-288.05,-289.63,-290.89,-292.33,-293.25,-293.55,-293.54,-293.55,-293.57,-293.59,-293.61,-293.63,-293.65,
,,,,,,11.00,-286.00,-285.59,-285.13,-284.78,-284.54,-284.08,-283.91,-283.76,-283.92,-283.89,-283.37,-282.91,-282.44,-282.04,-281.72,-281.62,-281.43,-281.44,-281.75,-281.98,-282.25,-282.76,-283.24,-283.75,-284.39,-284.82,-285.53,-286.25,-286.91,-287.75,-288.76,-289.87,-291.24,-292.40,-293.73,-294.37,-294.31,-294.25,-294.20,-294.16,-294.11,-294.06,-294.02,-293.97,-293.92,-293.88,-293.88,-293.22,-291.67,-290.16,-288.50,-287.06,-285.65,-284.50,-283.32,-282.05,-281.27,-280.44,-279.55,-278.89,-278.07,-277.71,-277.36,-277.11,-276.66,-276.26,-276.10,-276.04,-276.14,-276.07,-276.27,-276.52,-276.68,-276.79,-277.23,-277.65,-278.03,-278.55,-279.27,-279.72,-280.57,-281.23,-282.06,-283.06,-284.18,-285.10,-286.47,-288.13,-289.67,-291.14,-292.66,-293.91,-294.23,-294.24,-294.28,-294.32,-294.37,-294.41,-294.45,-294.49,
,,,,,,12.00,-287.14,-287.15,-287.15,-287.16,-287.17,-287.18,-286.81,-286.25,-285.60,-284.80,-283.86,-283.43,-283.46,-283.48,-283.49,-283.50,-283.51,-283.52,-283.52,-283.53,-283.54,-283.54,-283.55,-283.96,-284.88,-285.69,-286.70,-287.76,-288.88,-289.99,-291.15,-292.36,-293.38,-293.78,-293.73,-293.69,-293.67,-293.64,-293.61,-293.59,-293.56,-293.53,-293.51,-293.48,-293.45,-293.45,-293.44,-292.55,-290.73,-289.06,-287.49,-285.80,-284.33,-282.85,-281.70,-280.54,-279.50,-278.56,-277.89,-277.58,-277.11,-275.91,-275.84,-275.63,-275.55,-275.59,-275.78,-275.58,-275.46,-275.76,-275.99,-276.57,-276.97,-276.93,-277.26,-277.77,-278.14,-278.68,-279.30,-279.93,-280.62,-281.51,-282.49,-283.47,-284.62,-285.87,-287.36,-288.95,-290.52,-292.20,-293.79,-295.33,-295.90,-295.90,-295.92,-295.96,-295.99,-296.03,-296.06,-296.10,
,,,,,,13.00,-294.38,-294.39,-294.39,-294.40,-294.40,-294.41,-294.43,-294.22,-293.80,-293.13,-292.16,-291.21,-290.37,-289.90,-289.94,-290.00,-290.05,-290.09,-290.14,-290.18,-290.23,-290.27,-290.31,-290.62,-291.17,-291.73,-292.47,-293.52,-294.67,-295.54,-296.70,-297.96,-298.90,-299.92,-300.46,-300.50,-300.53,-300.58,-300.62,-300.66,-300.71,-300.75,-300.80,-300.84,-300.88,-300.96,-300.95,-299.81,-298.02,-296.27,-294.72,-293.00,-291.48,-290.09,-289.04,-288.07,-287.29,-286.34,-285.72,-285.28,-284.71,-284.04,-283.70,-283.25,-282.98,-282.66,-282.38,-282.25,-282.23,-282.22,-282.08,-281.99,-282.16,-282.06,-282.23,-282.54,-282.82,-283.15,-283.41,-283.87,-284.48,-285.34,-285.84,-286.74,-287.80,-288.91,-290.00,-291.29,-292.76,-294.58,-296.53,-298.42,-300.39,-301.66,-302.62,-302.69,-302.69,-302.71,-302.74,-302.76,
,,,,,,14.00,-291.49,-291.53,-291.40,-290.84,-290.30,-289.78,-289.33,-288.49,-287.93,-287.13,-286.36,-285.49,-284.55,-284.44,-284.49,-284.51,-284.53,-284.55,-284.57,-284.60,-284.62,-284.64,-284.63,-284.81,-285.69,-286.79,-287.53,-288.39,-289.19,-290.39,-291.60,-292.67,-293.80,-295.07,-295.35,-295.30,-295.29,-295.29,-295.28,-295.27,-295.27,-295.26,-295.25,-295.25,-295.25,-295.29,-294.90,-293.47,-291.91,-290.42,-289.15,-287.62,-286.31,-285.19,-283.91,-282.84,-281.92,-280.81,-280.12,-279.39,-278.71,-278.23,-277.62,-277.22,-276.89,-276.68,-276.55,-276.55,-276.38,-276.42,-276.57,-276.93,-277.00,-277.52,-277.92,-277.94,-278.55,-279.08,-280.05,-280.69,-281.48,-282.19,-283.20,-283.97,-284.97,-286.19,-287.29,-288.64,-290.39,-292.22,-293.96,-295.71,-297.61,-299.08,-299.36,-299.34,-299.38,-299.41,-299.44,-299.47,
,,,,,,15.00,-289.84,-289.82,-289.80,-289.78,-289.76,-289.76,-289.72,-289.02,-287.75,-286.58,-285.37,-284.39,-283.30,-282.29,-282.13,-282.13,-282.10,-282.06,-282.03,-281.99,-281.96,-281.92,-281.89,-281.85,-281.80,-281.87,-282.54,-283.26,-283.95,-284.91,-285.96,-286.77,-287.93,-289.14,-290.27,-290.89,-290.89,-290.81,-290.76,-290.71,-290.65,-290.60,-290.55,-290.49,-290.44,-290.39,-290.33,-290.29,-290.26,-289.50,-288.09,-286.83,-285.30,-284.00,-282.73,-281.64,-280.63,-279.82,-279.07,-278.32,-277.84,-277.23,-276.81,-276.36,-276.09,-275.69,-275.70,-275.64,-275.56,-275.73,-275.72,-276.09,-276.61,-276.47,-276.46,-276.83,-277.28,-277.85,-278.28,-278.71,-279.38,-279.94,-280.64,-281.47,-282.50,-283.72,-284.93,-286.18,-287.92,-289.63,-291.24,-292.81,-294.25,-295.43,-296.46,-297.36,-297.44,-297.38,-297.36,-297.34,
